"Consumer prices; rent increase for dwellings since 1959"
""
"";"Topic"
"";"Rent increase"
"Periods";"%"
"1994";"5.1"
"1995";"4.5"
"1996";"4.1"
"1997";"3.8"
"1998";"3.4"
"1999";"3.0"
"2000";"2.6"
"2001";"2.7"
"2002";"2.9"
"2003";"3.2"
"2004";"3.1"
"2005";"2.0"
"2006";"2.7"
"2007";"1.4"
"2008";"1.9"
"2009";"2.8"
"2010";"1.6"
"2011";"1.8"
"2012";"2.8"
"2013";"4.7"
"2014";"4.4"
"2015";"2.4"
"2016";"1.9"
"2017";"1.6"
"2018";"2.3"
"2019";"2.5"
"2020";"2.9"
"2021";"0.8"
"2022";"3.0"
"2023";"2.0"
"2024";"5.4"
"2025";"4.9"
"Source: CBS"
